recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,tipo,timestamp_dev_responded,developer_response
167177033,"{'steamid': '76561199050423538', 'num_games_owned': 21, 'num_reviews': 9, 'playtime_forever': 1160, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1160, 'last_played': 1718141744}",english,garbage game,1718141765,1718141765,False,0,0,0.5,0,False,False,False,False,negativa,,
167179283,"{'steamid': '76561198110566870', 'num_games_owned': 27, 'num_reviews': 3, 'playtime_forever': 70433, 'playtime_last_two_weeks': 45, 'playtime_at_review': 55937, 'last_played': 1761770492}",english,"i don't understand the ranking system in 2V2 ranked.
my personal elo was the same as my team elo with my duo but the next season after our placement games our personal elo was a bit over half way platinum aroun 1850 elo while our team elo was still in gold.",1718144484,1718144484,False,1,1,0.5238095521926879,0,False,False,False,False,negativa,,
167180959,"{'steamid': '76561199191403748', 'num_games_owned': 4, 'num_reviews': 2, 'playtime_forever': 2713, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1010, 'last_played': 1751346757}",english,shit absolutly suckS,1718147064,1718147064,False,0,0,0.5,0,False,False,False,False,negativa,,
167183261,"{'steamid': '76561199073212593', 'num_games_owned': 0, 'num_reviews': 11, 'playtime_forever': 26602, 'playtime_last_two_weeks': 0, 'playtime_at_review': 14927, 'last_played': 1747714438}",english,ass,1718150658,1718150658,False,0,1,0.5,0,False,False,False,False,negativa,,
167185074,"{'steamid': '76561198141921735', 'num_games_owned': 44, 'num_reviews': 2, 'playtime_forever': 8002, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7376, 'last_played': 1760161573}",english,fuck this game,1718153445,1718153445,False,0,0,0.5,0,False,False,False,False,negativa,,
167187434,"{'steamid': '76561198865091820', 'num_games_owned': 64, 'num_reviews': 1, 'playtime_forever': 39535, 'playtime_last_two_weeks': 0, 'playtime_at_review': 39061, 'last_played': 1760611347}",english,Jensi Whitford,1718157182,1718157182,False,0,0,0.5,0,False,True,False,False,negativa,,
167188710,"{'steamid': '76561199233210419', 'num_games_owned': 40, 'num_reviews': 3, 'playtime_forever': 56359, 'playtime_last_two_weeks': 0, 'playtime_at_review': 52116, 'last_played': 1760920331}",english,L game fr,1718159127,1718159127,False,0,0,0.5,0,False,False,False,False,negativa,,
167201917,"{'steamid': '76561198878750987', 'num_games_owned': 111, 'num_reviews': 5, 'playtime_forever': 2267, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2048, 'last_played': 1749700091}",english,"Probably some of the worst servers of any game I've ever played. I rarely have WiFi issues in any other game I've played, because usually the game developers are competent enough to make well working, healthy, servers. My packet loss is about 1%, which should be perfectly fine, though almost every game I play I am disconnected (and replaced by a suicidal bot) more than one time. As far as I'm aware this doesn't affect too many people, but it's very frustrating losing several games in ranked, fighting people that are terrible at the game and just spam side sig, and then disconnecting again and losing to them. Fuck this game.",1718182158,1718182158,False,2,1,0.5454545617103576,1,False,False,False,False,negativa,,
167227182,"{'steamid': '76561199144444873', 'num_games_owned': 0, 'num_reviews': 16, 'playtime_forever': 846, 'playtime_last_two_weeks': 0, 'playtime_at_review': 334, 'last_played': 1751978794}",english,"this game sucks alot

edit:ima get good",1718212483,1718642868,False,4,2,0.5611599683761596,0,False,False,False,False,negativa,,
167244512,"{'steamid': '76561198844213329', 'num_games_owned': 0, 'num_reviews': 14, 'playtime_forever': 859, 'playtime_last_two_weeks': 0, 'playtime_at_review': 168, 'last_played': 1756589322}",english,aids,1718232829,1718232829,False,0,0,0.5,0,False,False,False,False,negativa,,
